tensor(30.4559, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.7350, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.5542, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.9178, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.2470, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.8359, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.7357, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.4215, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.7212, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.4902, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.7968, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.6556, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.2509, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.4118, device='cuda:1', grad_fn=<MulBackward0>)
tensor(25.0129, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.3498, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.8004, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.3296, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.8719, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.2130, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.4094, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.4740, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.9828, device='cuda:1', grad_fn=<MulBackward0>)
tensor(25.1699, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.5643, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.0275, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.5225, device='cuda:1', grad_fn=<MulBackward0>)
tensor(32.4419, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.2044, device='cuda:1', grad_fn=<MulBackward0>)
tensor(25.7140, device='cuda:1', grad_fn=<MulBackward0>)
tensor(28.2324, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.3083, device='cuda:1', grad_fn=<MulBackward0>)
tensor(34.6675, device='cuda:1', grad_fn=<MulBackward0>)
tensor(27.1453, device='cuda:1', grad_fn=<MulBackward0>)
tensor(25.2753, device='cuda:1', grad_fn=<MulBackward0>)
tensor(28.0828, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.4338, device='cuda:1', grad_fn=<MulBackward0>)
tensor(25.8189, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.7972, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.7444, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.6661, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.0692, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.4016, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.9397, device='cuda:1', grad_fn=<MulBackward0>)
tensor(36.3125, device='cuda:1', grad_fn=<MulBackward0>)
tensor(24.7899, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.3521, device='cuda:1', grad_fn=<MulBackward0>)
tensor(26.6742, device='cuda:1', grad_fn=<MulBackward0>)
tensor(27.8927, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.0938, device='cuda:1', grad_fn=<MulBackward0>)
tensor(23.1757, device='cuda:1', grad_fn=<MulBackward0>)
tensor(19.0138, device='cuda:1', grad_fn=<MulBackward0>)
