tensor(21.7417, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.5544, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.7167, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.4864, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.7598, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.5936, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.5952, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5218, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.6697, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.7143, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.4651, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5691, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.8645, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7592, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.7712, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.1267, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9545, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.5577, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9560, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.7590, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.2532, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9567, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.6928, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.5116, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.0735, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.5602, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1803, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9674, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.7688, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5087, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.6905, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3611, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.3779, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.5310, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.5026, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1943, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.2208, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.0465, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2698, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9532, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.5317, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.4431, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.2382, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.3976, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.6107, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.7036, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.7882, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9135, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3153, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3148, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.4395, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3020, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.1868, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.7133, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.9588, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.6089, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.1800, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.0410, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.6448, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3098, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6319, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.9398, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.6266, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6529, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4674, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3976, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0981, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.3512, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.4400, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.6642, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5241, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1472, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.8669, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2381, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.3164, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7412, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3661, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.8554, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0458, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.8787, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.6055, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.4820, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4349, device='cuda:0', grad_fn=<MulBackward0>)
tensor(35.0433, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1445, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.6828, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.9186, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.9795, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.9552, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0969, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6381, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0902, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.3433, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3653, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.7879, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4997, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4954, device='cuda:0', grad_fn=<MulBackward0>)
