tensor(22.8099, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.0442, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.7769, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.1953, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.0149, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.1426, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.8983, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3435, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.4334, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3983, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.1825, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.2523, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.9540, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.2761, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.0496, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.0369, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.6325, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.7299, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.4009, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.2400, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3201, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.9969, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4049, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.7977, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.1673, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.0145, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.9692, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.0808, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.9705, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.4006, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.0602, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.7826, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.6603, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.4589, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.0155, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.9987, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.8829, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.8762, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.8080, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.0785, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.7396, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.9172, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.2906, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.4163, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.4151, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.1798, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1449, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.9447, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.1016, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2615, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.5008, device='cuda:0', grad_fn=<MulBackward0>)
